Date,Not indexed,Indexed,Impressions
2026-03-30,,,0
2026-03-31,,,3
2026-04-01,,,43
2026-04-02,,,37
2026-04-03,9,3,43
2026-04-04,11,1,27
2026-04-05,11,1,24
2026-04-06,12,1,18
2026-04-07,12,1,40
2026-04-08,12,1,25
2026-04-09,12,1,9
2026-04-10,12,1,18
2026-04-11,12,1,13
2026-04-12,12,1,28
2026-04-13,12,1,23
2026-04-14,12,1,40
2026-04-15,12,1,34
2026-04-16,12,1,173
2026-04-17,25,1,13
2026-04-18,25,1,36
2026-04-19,25,1,44
2026-04-20,24,2,58
2026-04-21,24,2,44
2026-04-22,24,2,71
2026-04-23,24,2,46
2026-04-24,24,2,28
2026-04-25,24,2,25
2026-04-26,24,2,56
