Date,Clicks,Impressions,CTR,Position
2026-03-31,0,0,,
2026-04-01,0,3,0%,13.7
2026-04-02,6,43,13.95%,9.7
2026-04-03,3,37,8.11%,7.1
2026-04-04,6,43,13.95%,7.2
2026-04-05,5,27,18.52%,6.6
2026-04-06,1,24,4.17%,6.7
2026-04-07,2,18,11.11%,4.9
2026-04-08,1,40,2.5%,8
2026-04-09,1,25,4%,10.4
2026-04-10,0,9,0%,4.2
2026-04-11,2,18,11.11%,3.1
2026-04-12,1,13,7.69%,2.5
2026-04-13,2,28,7.14%,8.4
2026-04-14,2,23,8.7%,6.6
2026-04-15,0,40,0%,5
2026-04-16,2,34,5.88%,14
2026-04-17,1,173,0.58%,39.7
2026-04-18,2,13,15.38%,2.4
2026-04-19,1,36,2.78%,5.2
2026-04-20,0,44,0%,5.6
2026-04-21,1,58,1.72%,3.1
2026-04-22,0,44,0%,5.5
2026-04-23,1,71,1.41%,5.3
2026-04-24,2,46,4.35%,3.3
2026-04-25,0,28,0%,4.2
2026-04-26,2,25,8%,3.2
2026-04-27,0,56,0%,6.3
2026-04-28,3,38,7.89%,6.1
2026-04-29,0,35,0%,9.1
2026-04-30,2,65,3.08%,3.8
2026-05-01,0,169,0%,3.6
2026-05-02,0,47,0%,7.2
2026-05-03,0,47,0%,5.8
